"(regParam, rank)",rmse,accuracy,coverage_user,coverage_item,split
"(0.05, 100)",1.0514948648787974,0.6953645285664213,0.00402703868833597,0.06033182503770739,0.5_0.5
"(0.05, 150)",1.0375791071877554,0.6992639327024185,0.003848895224518888,0.05927051671732523,0.5_0.5
"(0.05, 200)",1.035543218676197,0.7034700315457413,0.0036900369003690036,0.06015037593984962,0.5_0.5
"(0.1, 10)",0.9575810916454596,0.7526726253066947,0.0033312769895126465,0.06576980568011959,0.5_0.5
"(0.1, 50)",0.967668440291115,0.7388275499474237,0.0030915883034909183,0.06511627906976744,0.5_0.5
"(0.1, 100)",0.9678855968968841,0.73698738170347,0.003362648732540093,0.0633693972179289,0.5_0.5
"(0.1, 150)",0.9658457747163418,0.7379950928846828,0.0033635187580853816,0.06346749226006192,0.5_0.5
"(0.1, 200)",0.9642283321406276,0.7387399228881879,0.003495598135680994,0.06317411402157165,0.5_0.5
"(0.15, 10)",0.9147884062470967,0.7753242201191728,0.0029533372711163615,0.07164634146341463,0.5_0.5
"(0.15, 50)",0.9241549813134963,0.7660357518401683,0.0029133284777858705,0.06976744186046512,0.5_0.5
"(0.15, 100)",0.9241276864212324,0.7647213459516299,0.003161863067007175,0.06800618238021638,0.5_0.5
"(0.15, 150)",0.9241558862212795,0.7666053277252015,0.0030365601846228593,0.06842923794712286,0.5_0.5
"(0.15, 200)",0.9243066952134674,0.7655099894847529,0.0030354541039339486,0.06842923794712286,0.5_0.5
"(0.01, 10)",1.39143719294216,0.642869241192412,0.00022619316896629722,0.02197802197802198,0.25_0.75
"(0.01, 50)",1.3309662543860528,0.6258468834688347,0.0,0.01893939393939394,0.25_0.75
"(0.01, 100)",1.240756831519465,0.6491361788617886,0.0,0.017408123791102514,0.25_0.75
"(0.01, 150)",1.1531146788629028,0.6898712737127372,0.0,0.025,0.25_0.75
"(0.01, 200)",1.143519322076857,0.6934281842818428,0.0,0.023255813953488372,0.25_0.75
"(0.05, 10)",1.3027340027690222,0.6189024390243902,0.0002469745616201531,0.023715415019762844,0.25_0.75
"(0.05, 50)",1.2531017693481452,0.6164464769647696,0.00025680534155110427,0.022357723577235773,0.25_0.75
"(0.05, 100)",1.2378384701174454,0.6185636856368564,0.00025826446280991736,0.022540983606557378,0.25_0.75
"(0.05, 150)",1.2214841139901584,0.6271172086720868,0.000507227998985544,0.02263374485596708,0.25_0.75
"(0.05, 200)",1.219928794915909,0.626270325203252,0.000507227998985544,0.022774327122153208,0.25_0.75
"(0.1, 10)",1.134483802338566,0.6833502710027101,0.00021781746896101068,0.02834008097165992,0.25_0.75
"(0.1, 50)",1.1462606719376136,0.6537093495934959,0.00046992481203007516,0.029723991507430998,0.25_0.75
"(0.1, 100)",1.1423133801348502,0.6593834688346883,0.00046685340802987864,0.030042918454935622,0.25_0.75
"(0.1, 150)",1.1411164598692327,0.6563346883468835,0.0004698144233027954,0.030107526881720432,0.25_0.75
"(0.1, 200)",1.1408337750476387,0.6559959349593496,0.00023529411764705883,0.030303030303030304,0.25_0.75
"(0.15, 10)",1.0436554489578822,0.7228150406504065,0.00020048115477145148,0.03278688524590164,0.25_0.75
"(0.15, 50)",1.0611719258847174,0.702489837398374,0.0002101723413198823,0.03375527426160337,0.25_0.75
"(0.15, 100)",1.0605822153064375,0.7042682926829268,0.00020999580008399833,0.034334763948497854,0.25_0.75
"(0.15, 150)",1.0605634171439562,0.7040989159891599,0.0002101723413198823,0.034261241970021415,0.25_0.75
"(0.15, 200)",1.0616145189758874,0.7046917344173442,0.00021048200378867606,0.034261241970021415,0.25_0.75
