,rmse,accuracy
"(0.01, 10)",2.0414089657702794,0.45396255450115414
"(0.01, 50)",1.245727733049278,0.5257758399589638
"(0.01, 100)",1.2202623631678624,0.5444985893818928
"(0.01, 150)",1.2162175138794582,0.5414208771479867
"(0.01, 200)",1.2151399350065522,0.547576301615799
"(0.05, 10)",1.5745797563011967,0.4734547319825596
"(0.05, 50)",1.2668385037547474,0.5080789946140036
"(0.05, 100)",1.2405656430910639,0.5124390869453707
"(0.05, 150)",1.2350928753496977,0.5137214670428315
"(0.05, 200)",1.2273825825946443,0.5193639394716594
"(0.1, 10)",1.4341748342099592,0.4724288279045909
"(0.1, 50)",1.3067869930049714,0.4796101564503719
"(0.1, 100)",1.2883411345159355,0.48268786868427804
"(0.1, 150)",1.2836561560028177,0.48140548858681714
"(0.1, 200)",1.2778537209126997,0.4839702487817389
"(0.15, 10)",1.3788428229414462,0.4747371120800205
"(0.15, 50)",1.3257985214528651,0.4644780713003334
"(0.15, 100)",1.3158603455602047,0.4680687355732239
"(0.15, 150)",1.3127102709527374,0.46652987945627084
"(0.15, 200)",1.3101351182662477,0.46652987945627084
