,0.75_0.25,0.5_0.5,0.25_0.75
training time,0.15465497970581055,0.025285959243774414,0.019873857498168945
inference train time,0.07098984718322754,0.03489518165588379,0.03557133674621582
inference test time,0.0644080638885498,0.03715372085571289,0.026756763458251953
