,train,test,split
rmse,0.821107584935976,0.8945796516963485,0.75_0.25
accuracy,0.7405277601111818,0.6958898872108583,0.75_0.25
coverage_2,0.9392065945388974,0.6357004934563398,0.75_0.25
rmse,0.8084534056166799,0.9216391456603658,0.5_0.5
accuracy,0.7523058633231833,0.6842907304982443,0.5_0.5
coverage_2,0.91101243339254,0.8614492753623189,0.5_0.5
rmse,0.7845994616618576,0.9808862992697065,0.25_0.75
accuracy,0.7731320039272777,0.6621646532548451,0.25_0.75
coverage_2,0.8175270873167623,0.9082713693492137,0.25_0.75
