,0.75_0.25,0.5_0.5,0.25_0.75
training time,4.581348180770874,2.5753700733184814,1.9770197868347168
inference train time,0.026640892028808594,0.0188291072845459,0.03034520149230957
inference test time,0.022217988967895508,0.01862621307373047,0.019067049026489258
