,0.75_0.25,0.5_0.5,0.25_0.75
training time,39.36795401573181,34.97765493392944,31.67464017868042
inference train time,11.783834218978882,7.1230340003967285,3.9373209476470947
inference test time,3.8075180053710938,6.899870872497559,9.69617486000061
