,0.75_0.25,0.5_0.5,0.25_0.75
training time,0.15107989311218262,0.035660743713378906,0.020393848419189453
inference train time,0.06664919853210449,0.03799700736999512,0.03756403923034668
inference test time,0.054656028747558594,0.03940701484680176,0.025295257568359375
